year,country,activity,fatal_(y/n)
2018,USA,Surfing,N
2018,AUSTRALIA,Surfing,N
2018,MEXICO,Diving,N
2018,AUSTRALIA,Surfing,N
2018,BRAZIL,Swimming,Y
2018,USA,Fishing,N
2018,USA,Swimming,N
2018,ENGLAND,Fishing,N
2018,SOUTH AFRICA,Surfing,N
2018,AUSTRALIA,Surfing,N
2018,THAILAND,Swimming,N
2018,COSTA RICA,Diving,N
2018,AUSTRALIA,Surfing,N
2018,AUSTRALIA,Surfing,N
2018,AUSTRALIA,Surfing,N
2018,AUSTRALIA,Surfing,N
2018,MALDIVES,Fishing,N
2018,THAILAND,Swimming,N
2018,AUSTRALIA,Surfing,N
2018,AUSTRALIA,Surfing,N
2018,BAHAMAS,Surfing,N
2018,BRAZIL,Fishing,N
2018,NEW CALEDONIA,Surfing,N
2018,BAHAMAS,Swimming,N
2018,SOUTH AFRICA,Surfing,N
2018,AUSTRALIA,Swimming,N
2018,AUSTRALIA,Surfing,N
2018,SOUTH AFRICA,Diving,N
2018,AUSTRALIA,Swimming,N
2018,AUSTRALIA,Fishing,N
2018,AUSTRALIA,Swimming,N
2018,AUSTRALIA,Fishing,N
2018,NEW CALEDONIA,Fishing,N
2018,AUSTRALIA,Diving,N
2018,AUSTRALIA,Diving,N
2018,BRAZIL,Surfing,N
2018,AUSTRALIA,Surfing,N
2017,USA,Surfing,N
2017,USA,Surfing,N
2017,MALAYSIA,Fishing,N
2017,COSTA RICA,Diving,N
2017,COSTA RICA,Diving,Y
2017,USA,Fishing,N
2017,USA,Surfing,N
2017,AUSTRALIA,Surfing,N
2017,AUSTRALIA,Surfing,N
2017,MAURITIUS,Swimming,N
2017,USA,Surfing,N
2017,USA,Swimming,N
2017,AUSTRALIA,Fishing,N
2017,USA,Swimming,N
2017,USA,Surfing,N
2017,USA,Surfing,N
2017,AUSTRALIA,Surfing,N
2017,USA,Surfing,N
2017,USA,Surfing,N
2017,SPAIN,Surfing,N
2017,USA,Surfing,N
2017,SAMOA,Fishing,N
2017,AUSTRALIA,Fishing,N
2017,USA,Surfing,N
2017,AUSTRALIA,Swimming,N
2017,AUSTRALIA,Surfing,N
2017,SOLOMON ISLANDS,Fishing,N
2017,JAPAN,Surfing,N
2017,USA,Swimming,N
2017,USA,Swimming,N
2017,USA,Surfing,N
2017,AUSTRALIA,Surfing,N
2017,BAHAMAS,Fishing,N
2017,USA,Swimming,N
2017,USA,Fishing,N
2017,USA,Fishing,N
2017,BAHAMAS,Fishing,N
2017,ST HELENA BRITISH OVERSEAS TERRITORY,Surfing,N
2017,SPAIN,Swimming,N
2017,USA,Surfing,N
2017,AUSTRALIA,Surfing,N
2017,USA,Swimming,N
2017,MEXICO,Fishing,N
2017,SOUTH AFRICA,Surfing,N
2017,USA,Swimming,N
2017,USA,Surfing,N
2017,USA,Swimming,N
2017,SPAIN,Swimming,N
2017,FRENCH POLYNESIA,Surfing,N
2017,AUSTRALIA,Surfing,N
2017,USA,Surfing,N
2017,UNITED KINGDOM,Surfing,N
2017,USA,Fishing,N
2017,AUSTRALIA,Fishing,N
2017,UNITED ARAB EMIRATES,Fishing,N
2017,USA,Swimming,N
2017,SOUTH AFRICA,Surfing,N
2017,USA,Surfing,N
2017,AUSTRALIA,Surfing,Y
2017,USA,Surfing,N
2017,USA,Surfing,N
2017,USA,Surfing,N
2017,USA,Surfing,N
2017,USA,Swimming,N
2017,USA,Swimming,N
2017,USA,Swimming,N
2017,USA,Swimming,N
2017,USA,Surfing,N
2017,PHILIPPINES,Fishing,N
2017,AUSTRALIA,Surfing,N
2017,AUSTRALIA,Fishing,N
2017,USA,Swimming,N
2017,SOUTH AFRICA,Fishing,N
2017,BAHAMAS,Diving,N
2017,BRAZIL,Swimming,N
2017,AUSTRALIA,Diving,N
2017,AUSTRALIA,Swimming,N
2017,INDONESIA,Surfing,N
2016,USA,Surfing,N
2016,AUSTRALIA,Diving,N
2016,FRENCH POLYNESIA,Fishing,N
2016,AUSTRALIA,Fishing,N
2016,AUSTRALIA,Surfing,N
2016,AUSTRALIA,Fishing,N
2016,USA,Surfing,N
2016,USA,Surfing,N
2016,AUSTRALIA,Surfing,N
2016,USA,Surfing,N
2016,AUSTRALIA,Surfing,N
2016,AUSTRALIA,Surfing,N
2016,USA,Surfing,N
2016,USA,Surfing,N
2016,AUSTRALIA,Surfing,N
2016,USA,Surfing,N
2016,USA,Surfing,N
2016,USA,Surfing,N
2016,USA,Surfing,N
2016,AUSTRALIA,Surfing,N
2016,AUSTRALIA,Surfing,N
2016,AUSTRALIA,Fishing,N
2016,USA,Swimming,N
2016,NEW CALEDONIA,Surfing,Y
2016,AUSTRALIA,Surfing,N
2016,USA,Fishing,N
2016,USA,Surfing,N
2016,USA,Surfing,N
2016,REUNION,Surfing,N
2016,USA,Surfing,N
2016,SPAIN,Swimming,N
2016,CHINA,Swimming,N
2016,AUSTRALIA,Surfing,N
2016,JAPAN,Surfing,N
2016,AUSTRALIA,Surfing,N
2016,BAHAMAS,Fishing,N
2016,AUSTRALIA,Fishing,N
2016,USA,Fishing,N
2016,USA,Surfing,N
2016,USA,Surfing,N
2016,USA,Swimming,N
2016,BAHAMAS,Diving,N
2016,USA,Fishing,N
2016,USA,Fishing,N
2016,USA,Fishing,N
2016,USA,Swimming,N
2016,AUSTRALIA,Fishing,N
2016,USA,Surfing,N
2016,COLUMBIA,Diving,N
2016,SOUTH AFRICA,Fishing,N
2016,USA,Surfing,N
2016,AUSTRALIA,Fishing,N
2016,USA,Swimming,N
2016,AUSTRALIA,Diving,Y
2016,EGYPT,Swimming,N
2016,NEW CALEDONIA,Surfing,N
2016,AUSTRALIA,Surfing,Y
2016,USA,Swimming,N
2016,USA,Swimming,N
2016,USA,Swimming,N
2016,USA,Swimming,N
2016,USA,Swimming,N
2016,USA,Swimming,N
2016,NEW ZEALAND,Fishing,N
2016,INDONESIA,Surfing,N
2016,USA,Surfing,N
2016,AUSTRALIA,Swimming,N
2016,FRENCH POLYNESIA,Fishing,N
2016,USA,Fishing,N
2016,USA,Fishing,N
2016,AUSTRALIA,Surfing,N
2016,AUSTRALIA,Surfing,N
2016,USA,Surfing,N
2016,FIJI,Diving,Y
2016,AUSTRALIA,Fishing,N
2016,BRAZIL,Swimming,N
2016,NEW CALEDONIA,Surfing,N
2016,NEW CALEDONIA,Fishing,N
2016,AUSTRALIA,Surfing,N
2016,BRAZIL,Swimming,N
2016,SOUTH AFRICA,Fishing,N
2016,USA,Surfing,N
2016,USA,Surfing,N
2016,USA,Fishing,N
2016,UNITED ARAB EMIRATES,Fishing,N
2016,AUSTRALIA,Surfing,N
2016,AUSTRALIA,Fishing,N
2015,SOUTH AFRICA,Fishing,N
2015,SPAIN,Swimming,N
2015,AUSTRALIA,Surfing,N
2015,BRAZIL,Diving,N
2015,AUSTRALIA,Fishing,N
2015,BAHAMAS,Fishing,N
2015,USA,Surfing,N
2015,USA,Swimming,N
2015,USA,Surfing,N
2015,AUSTRALIA,Surfing,N
2015,USA,Swimming,N
2015,MOZAMBIQUE,Fishing,N
2015,AUSTRALIA,Fishing,N
2015,SOUTH AFRICA,Surfing,N
2015,USA,Surfing,N
2015,USA,Surfing,N
2015,MOZAMBIQUE,Fishing,Y
2015,USA,Swimming,N
2015,USA,Fishing,N
2015,USA,Surfing,N
2015,MOZAMBIQUE,Fishing,N
2015,AUSTRALIA,Surfing,N
2015,USA,Surfing,N
2015,USA,Surfing,N
2015,USA,Fishing,N
2015,USA,Surfing,N
2015,USA,Fishing,N
2015,USA,Fishing,N
2015,USA,Swimming,N
2015,USA,Surfing,N
2015,AUSTRALIA,Surfing,N
2015,USA,Fishing,N
2015,FIJI,Fishing,N
2015,USA,Surfing,N
2015,USA,Surfing,N
2015,AUSTRALIA,Surfing,N
2015,USA,Surfing,N
2015,USA,Fishing,N
2015,USA,Fishing,N
2015,AUSTRALIA,Surfing,N
2015,COSTA RICA,Surfing,N
2015,USA,Surfing,N
2015,AUSTRALIA,Diving,Y
2015,USA,Fishing,N
2015,AUSTRALIA,Surfing,N
2015,REUNION,Surfing,N
2015,SOUTH AFRICA,Surfing,N
2015,USA,Surfing,N
2015,BAHAMAS,Fishing,N
2015,AUSTRALIA,Surfing,N
2015,USA,Swimming,N
2015,AUSTRALIA,Surfing,N
2015,USA,Swimming,N
2015,SOUTH AFRICA,Surfing,N
2015,AUSTRALIA,Swimming,N
2015,USA,Surfing,N
2015,USA,Swimming,N
2015,AUSTRALIA,Surfing,N
2015,PUERTO RICO,Fishing,N
2015,USA,Swimming,N
2015,REUNION,Surfing,N
2015,FRENCH POLYNESIA,Fishing,N
2015,USA,Swimming,N
2015,USA,Surfing,N
2015,USA,Swimming,N
2015,AUSTRALIA,Surfing,N
2015,SOUTH AFRICA,Diving,N
2015,AUSTRALIA,Surfing,N
2015,REUNION,Surfing,Y
2015,USA,Fishing,N
2015,SOUTH AFRICA,Fishing,N
2015,EGYPT,Swimming,Y
2015,AUSTRALIA,Fishing,N
2015,MEXICO,Fishing,N
2015,REUNION,Swimming,Y
2015,AUSTRALIA,Surfing,Y
2015,AUSTRALIA,Surfing,N
2015,AUSTRALIA,Surfing,N
2015,USA,Fishing,N
2015,AUSTRALIA,Surfing,N
2015,USA,Fishing,N
2015,AUSTRALIA,Fishing,N
2015,SOUTH AFRICA,Surfing,N
2014,AUSTRALIA,Surfing,N
2014,AUSTRALIA,Fishing,Y
2014,USA,Surfing,N
2014,AUSTRALIA,Fishing,N
2014,JAPAN,Diving,N
2014,AUSTRALIA,Fishing,Y
2014,SPAIN,Fishing,N
2014,AUSTRALIA,Surfing,N
2014,MAURITIUS,Fishing,Y
2014,AUSTRALIA,Fishing,N
2014,USA,Surfing,N
2014,AUSTRALIA,Surfing,N
2014,USA,Surfing,N
2014,USA,Surfing,N
2014,AUSTRALIA,Surfing,N
2014,USA,Surfing,N
2014,AUSTRALIA,Surfing,N
2014,USA,Surfing,N
2014,USA,Surfing,N
2014,USA,Fishing,N
2014,USA,Surfing,N
2014,USA,Surfing,N
2014,AUSTRALIA,Surfing,N
2014,USA,Surfing,N
2014,AUSTRALIA,Swimming,Y
2014,USA,Fishing,N
2014,USA,Fishing,N
2014,USA,Surfing,N
2014,USA,Surfing,N
2014,USA,Fishing,N
2014,SPAIN,Swimming,N
2014,USA,Surfing,N
2014,USA,Fishing,N
2014,AUSTRALIA,Fishing,N
2014,BAHAMAS,Fishing,N
2014,USA,Swimming,N
2014,USA,Swimming,N
2014,USA,Swimming,N
2014,USA,Surfing,N
2014,SOUTH AFRICA,Surfing,N
2014,USA,Swimming,N
2014,REUNION,Surfing,N
2014,USA,Swimming,N
2014,USA,Swimming,N
2014,USA,Surfing,N
2014,USA,Surfing,N
2014,USA,Swimming,N
2014,USA,Surfing,N
2014,USA,Surfing,N
2014,BAHAMAS,Fishing,N
2014,AUSTRALIA,Surfing,N
2014,BRAZIL,Fishing,N
2014,JAPAN,Surfing,N
2014,USA,Swimming,N
2014,AUSTRALIA,Surfing,N
2014,FRANCE,Diving,N
2014,AUSTRALIA,Surfing,N
2014,USA,Surfing,N
2014,USA,Swimming,N
2014,SOUTH AFRICA,Diving,N
2014,USA,Surfing,N
2014,AUSTRALIA,Fishing,N
2014,USA,Swimming,N
2014,SOUTH AFRICA,Fishing,N
2014,USA,Surfing,N
2014,USA,Surfing,N
2014,AUSTRALIA,Swimming,Y
2014,SOUTH AFRICA,Swimming,Y
2014,USA,Surfing,N
2014,USA,Surfing,N
2014,NEW CALEDONIA,Surfing,N
2014,AUSTRALIA,Surfing,N
2014,AUSTRALIA,Swimming,N
2014,USA,Surfing,N
2014,FRENCH POLYNESIA,Surfing,N
2014,AUSTRALIA,Diving,Y
2014,TRINIDAD  TOBAGO,Fishing,N
2014,NEW ZEALAND,Surfing,N
2014,AUSTRALIA,Fishing,N
2014,NEW ZEALAND,Fishing,N
2014,USA,Diving,N
2013,SOUTH AFRICA,Surfing,N
2013,KIRIBATI,Fishing,N
2013,USA,Surfing,N
2013,AUSTRALIA,Surfing,N
2013,USA,Fishing,Y
2013,AUSTRALIA,Surfing,Y
2013,USA,Surfing,N
2013,AUSTRALIA,Surfing,N
2013,BAHAMAS,Fishing,N
2013,USA,Surfing,N
2013,AUSTRALIA,Diving,N
2013,AUSTRALIA,Surfing,N
2013,USA,Diving,N
2013,USA,Surfing,N
2013,AUSTRALIA,Diving,N
2013,USA,Surfing,N
2013,USA,Surfing,N
2013,ISRAEL,Diving,N
2013,USA,Swimming,N
2013,USA,Surfing,N
2013,USA,Swimming,N
2013,USA,Surfing,N
2013,USA,Surfing,N
2013,USA,Swimming,N
2013,BAHAMAS,Fishing,N
2013,USA,Swimming,N
2013,FRANCE,Fishing,N
2013,USA,Surfing,N
2013,USA,Surfing,N
2013,USA,Surfing,N
2013,USA,Fishing,N
2013,USA,Swimming,N
2013,BAHAMAS,Fishing,N
2013,USA,Surfing,N
2013,BAHAMAS,Diving,N
2013,BRAZIL,Swimming,Y
2013,USA,Swimming,N
2013,DIEGO GARCIA,Swimming,Y
2013,AUSTRALIA,Surfing,N
2013,TAIWAN,Fishing,N
2013,USA,Fishing,N
2013,USA,Swimming,N
2013,USA,Swimming,N
2013,USA,Swimming,N
2013,USA,Swimming,N
2013,SOUTH AFRICA,Surfing,N
2013,USA,Surfing,N
2013,USA,Fishing,N
2013,AUSTRALIA,Surfing,N
2013,USA,Diving,N
2013,USA,Swimming,N
2013,PALESTINIAN TERRITORIES,Fishing,N
2013,ECUADOR,Surfing,N
2013,USA,Surfing,N
2013,AUSTRALIA,Fishing,N
2013,MEXICO,Swimming,N
2013,AUSTRALIA,Fishing,N
2013,SOUTH AFRICA,Diving,N
2013,USA,Surfing,N
2013,USA,Swimming,N
2013,USA,Surfing,N
2013,SEYCHELLES,Diving,N
2013,BAHAMAS,Fishing,N
2013,SOUTH AFRICA,Fishing,N
2013,SOUTH AFRICA,Surfing,N
2013,JAMAICA,Fishing,Y
2013,AUSTRALIA,Fishing,N
2013,SOUTH AFRICA,Swimming,N
2013,NEW ZEALAND,Swimming,Y
2013,USA,Surfing,N
2013,USA,Surfing,N
2013,USA,Surfing,N
2013,FRENCH POLYNESIA,Diving,N
2013,AUSTRALIA,Fishing,N
2013,AUSTRALIA,Surfing,N
2013,USA,Surfing,N
2013,NEW ZEALAND,Fishing,N
2013,AUSTRALIA,Diving,N
2012,USA,Swimming,N
2012,AUSTRALIA,Surfing,N
2012,SOUTH AFRICA,Swimming,Y
2012,AUSTRALIA,Surfing,N
2012,USA,Surfing,N
2012,AUSTRALIA,Fishing,N
2012,NEW ZEALAND,Diving,N
2012,MEXICO,Swimming,Y
2012,USA,Surfing,N
2012,USA,Diving,N
2012,USA,Surfing,N
2012,USA,Surfing,N
2012,USA,Swimming,N
2012,USA,Surfing,Y
2012,USA,Surfing,N
2012,USA,Surfing,N
2012,USA,Surfing,N
2012,USA,Surfing,N
2012,USA,Surfing,N
2012,TONGA,Swimming,N
2012,USA,Surfing,N
2012,USA,Surfing,N
2012,USA,Swimming,N
2012,USA,Surfing,N
2012,USA,Surfing,N
2012,USA,Surfing,N
2012,USA,Fishing,N
2012,SCOTLAND,Fishing,N
2012,AUSTRALIA,Surfing,N
2012,BRAZIL,Swimming,Y
2012,AUSTRALIA,Fishing,N
2012,USA,Diving,N
2012,REUNION,Surfing,N
2012,FRENCH POLYNESIA,Fishing,N
2012,USA,Surfing,N
2012,AUSTRALIA,Surfing,N
2012,USA,Surfing,N
2012,USA,Surfing,N
2012,REUNION,Surfing,Y
2012,AUSTRALIA,Surfing,Y
2012,USA,Swimming,N
2012,BAHAMAS,Fishing,N
2012,SOUTH AFRICA,Surfing,N
2012,USA,Swimming,N
2012,USA,Surfing,N
2012,AUSTRALIA,Surfing,N
2012,USA,Swimming,N
2012,USA,Fishing,N
2012,USA,Swimming,N
2012,USA,Swimming,N
2012,USA,Swimming,N
2012,USA,Swimming,N
2012,AUSTRALIA,Surfing,N
2012,USA,Surfing,N
2012,MEXICO,Diving,N
2012,USA,Surfing,N
2012,USA,Fishing,N
2012,FIJI,Fishing,N
2012,USA,Fishing,N
2012,USA,Swimming,N
2012,USA,Surfing,N
2012,USA,Surfing,N
2012,AUSTRALIA,Diving,Y
2012,USA,Surfing,N
2012,AUSTRALIA,Fishing,N
2012,AUSTRALIA,Surfing,N
2012,USA,Surfing,N
2012,USA,Surfing,N
2012,USA,Surfing,N
2012,NEW ZEALAND,Surfing,N
2012,AUSTRALIA,Diving,N
2012,USA,Surfing,N
2012,CHILE,Fishing,N
2012,USA,Surfing,N
2012,AUSTRALIA,Fishing,N
2012,SOUTH AFRICA,Fishing,N
2012,AUSTRALIA,Surfing,N
2012,BAHAMAS,Diving,N
2012,TAIWAN,Fishing,N
2012,AUSTRALIA,Surfing,N
2012,SOUTH AFRICA,Swimming,Y
